Ticker,Company,Index
MMM,3M,Dow Jones
AXP,American Express,Dow Jones
AMGN,Amgen,Dow Jones
AMZN,Amazon,Dow Jones
AAPL,Apple,Dow Jones
BA,Boeing,Dow Jones
CAT,Caterpillar,Dow Jones
CVX,Chevron,Dow Jones
CSCO,Cisco,Dow Jones
KO,Coca-Cola,Dow Jones
DIS,Disney,Dow Jones
GS,Goldman Sachs,Dow Jones
HD,Home Depot,Dow Jones
HON,Honeywell,Dow Jones
IBM,IBM,Dow Jones
JNJ,Johnson & Johnson,Dow Jones
JPM,JPMorgan Chase,Dow Jones
MCD,McDonald's,Dow Jones
MRK,Merck,Dow Jones
MSFT,Microsoft,Dow Jones
NKE,Nike,Dow Jones
NVDA,Nvidia,Dow Jones
PG,Procter & Gamble,Dow Jones
CRM,Salesforce,Dow Jones
SHW,Sherwin-Williams,Dow Jones
TRV,Travelers,Dow Jones
UNH,UnitedHealth Group,Dow Jones
VZ,Verizon,Dow Jones
V,Visa,Dow Jones
WMT,Walmart,Dow Jones
