Ticker,Company,Sector,Index
MMM,3M,Conglomerate,Dow_Jones
AXP,American Express,Financial services,Dow_Jones
AMGN,Amgen,Biopharmaceutical,Dow_Jones
AMZN,Amazon,Retailing,Dow_Jones
AAPL,Apple,Information technology,Dow_Jones
BA,Boeing,Aerospace and defense,Dow_Jones
CAT,Caterpillar,Construction and mining,Dow_Jones
CVX,Chevron,Petroleum industry,Dow_Jones
CSCO,Cisco,Information technology,Dow_Jones
KO,Coca-Cola,Drink industry,Dow_Jones
DIS,Disney,Broadcasting and entertainment,Dow_Jones
GS,Goldman Sachs,Financial services,Dow_Jones
HD,Home Depot,Home Improvement,Dow_Jones
HON,Honeywell,Conglomerate,Dow_Jones
IBM,IBM,Information technology,Dow_Jones
JNJ,Johnson & Johnson,Pharmaceutical industry,Dow_Jones
JPM,JPMorgan Chase,Financial services,Dow_Jones
MCD,McDonald's,Food industry,Dow_Jones
MRK,Merck,Pharmaceutical industry,Dow_Jones
MSFT,Microsoft,Information technology,Dow_Jones
NKE,Nike,Clothing industry,Dow_Jones
NVDA,Nvidia,Information technology,Dow_Jones
PG,Procter & Gamble,Fast-moving consumer goods,Dow_Jones
CRM,Salesforce,Information technology,Dow_Jones
SHW,Sherwin-Williams,Speciality chemicals,Dow_Jones
TRV,Travelers,Insurance,Dow_Jones
UNH,UnitedHealth Group,Managed health care,Dow_Jones
VZ,Verizon,Telecommunications industry,Dow_Jones
V,Visa,Financial services,Dow_Jones
WMT,Walmart,Retailing,Dow_Jones
