Ticker,Company,Sector,Index
ADBE,Adobe Inc.,Information Technology,NASDAQ-100
AMD,Advanced Micro Devices,Information Technology,NASDAQ-100
ABNB,Airbnb,Consumer Discretionary,NASDAQ-100
GOOGL,Alphabet Inc. (Class A),Communication Services,NASDAQ-100
GOOG,Alphabet Inc. (Class C),Communication Services,NASDAQ-100
AMZN,Amazon,Consumer Discretionary,NASDAQ-100
AEP,American Electric Power,Utilities,NASDAQ-100
AMGN,Amgen,Health Care,NASDAQ-100
ADI,Analog Devices,Information Technology,NASDAQ-100
ANSS,Ansys,Information Technology,NASDAQ-100
AAPL,Apple Inc.,Information Technology,NASDAQ-100
AMAT,Applied Materials,Information Technology,NASDAQ-100
APP,AppLovin,Information Technology,NASDAQ-100
ARM,Arm Holdings,Information Technology,NASDAQ-100
ASML,ASML Holding,Information Technology,NASDAQ-100
AZN,AstraZeneca,Health Care,NASDAQ-100
TEAM,Atlassian,Information Technology,NASDAQ-100
ADSK,Autodesk,Information Technology,NASDAQ-100
ADP,Automatic Data Processing,Industrials,NASDAQ-100
AXON,Axon Enterprise,Industrials,NASDAQ-100
BKR,Baker Hughes,Energy,NASDAQ-100
BIIB,Biogen,Health Care,NASDAQ-100
BKNG,Booking Holdings,Consumer Discretionary,NASDAQ-100
AVGO,Broadcom,Information Technology,NASDAQ-100
CDNS,Cadence Design Systems,Information Technology,NASDAQ-100
CDW,CDW Corporation,Information Technology,NASDAQ-100
CHTR,Charter Communications,Communication Services,NASDAQ-100
CTAS,Cintas,Industrials,NASDAQ-100
CSCO,Cisco,Information Technology,NASDAQ-100
CCEP,Coca-Cola Europacific Partners,Consumer Staples,NASDAQ-100
CTSH,Cognizant,Information Technology,NASDAQ-100
CMCSA,Comcast,Communication Services,NASDAQ-100
CEG,Constellation Energy,Utilities,NASDAQ-100
CPRT,Copart,Industrials,NASDAQ-100
CSGP,CoStar Group,Real Estate,NASDAQ-100
COST,Costco,Consumer Staples,NASDAQ-100
CRWD,CrowdStrike,Information Technology,NASDAQ-100
CSX,CSX Corporation,Industrials,NASDAQ-100
DDOG,Datadog,Information Technology,NASDAQ-100
DXCM,DexCom,Health Care,NASDAQ-100
FANG,Diamondback Energy,Energy,NASDAQ-100
DASH,DoorDash,Consumer Discretionary,NASDAQ-100
EA,Electronic Arts,Communication Services,NASDAQ-100
EXC,Exelon,Utilities,NASDAQ-100
FAST,Fastenal,Industrials,NASDAQ-100
FTNT,Fortinet,Information Technology,NASDAQ-100
